Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,2,1.110,+0.145,"[0.03, 0.26]",1.294,large,0.2259,positive (+)
Hap8,7,0.880,-0.085,"[-0.24, 0.07]",-0.723,medium,0.3222,negative (-)
Hap11,3,1.046,+0.081,"[0.03, 0.13]",0.729,medium,0.0618,positive (+)
Hap10,3,0.895,-0.070,"[-0.26, 0.12]",-0.620,medium,0.5478,negative (-)
Hap5,32,0.904,-0.061,"[-0.11, -0.01]",-0.535,medium,0.0144*,negative (-)
Hap2,82,1.024,+0.059,"[0.02, 0.10]",0.455,small,0.0032***,positive (+)
Hap3,76,1.012,+0.047,"[0.02, 0.08]",0.420,small,0.0040***,positive (+)
Hap7,13,1.009,+0.044,"[-0.01, 0.10]",0.394,small,0.1546,positive (+)
Hap12,2,0.992,+0.027,"[-0.13, 0.19]",0.244,small,0.7903,positive (+)
Hap4,47,0.987,+0.022,"[-0.02, 0.06]",0.191,negligible,0.2739,positive (+)
Hap6,24,0.956,-0.009,"[-0.06, 0.04]",-0.084,negligible,0.7137,negative (-)
Hap9,4,0.958,-0.007,"[-0.13, 0.11]",-0.064,negligible,0.9133,negative (-)
Hap1,139,0.965,REF,-,-,-,-,-
