SampleID,Hap_Name,Haplotype_Seq,Phenotype_1,WT_TPM,SA_TPM
M100A,Hap1,,57.01431475,0.0,0.0
M101A,Hap1,,56.0619185,0.0,0.0
M102A,Hap1,,59.17303915,0.0,0.0
M103A,Hap1,,72.9268924,0.0,0.0
M104A,Hap1,,62.4708667,0.0,0.0
M105A,Hap1,,54.83925565,0.0,0.0
M106A,Hap1,,61.93345515,0.0,0.0
M107A,Hap1,,63.805803,0.0,0.0
M108A,Hap1,,48.40849826,0.0,0.0
M109A,Hap1,,48.61836932,0.0,0.0
M10A,Hap1,,56.3934374,0.0,0.0
M110A,Hap1,,47.8834862,0.0,0.0
M111A,Hap1,,51.37369355,0.0,0.0
M112A,Hap1,,49.01937823,0.0,0.0
M113A,Hap1,,50.53744805,0.0,0.0
M114A,Hap1,,51.04245415,0.0,0.0
M115A,Hap1,,54.82358865,0.0,0.0
M116A,Hap1,,49.01027459,0.0,0.0
M117A,Hap1,,47.10471903,0.0,0.0
M118A,Hap1,,46.2073351,0.0,0.0
M119A,Hap1,,46.07491355,0.0,0.0
M11A,Hap1,,53.16944815,0.0,0.0
M120A,Hap1,,49.69289052,0.0,0.0
M121A,Hap1,,52.32310925,0.0,0.0
M122A,Hap1,,51.9520051,0.0,0.0
M123A,Hap1,,70.7053522,0.0,0.0
M124A,Hap1,,51.44279,0.0,0.0
M125A,Hap1,,51.34906,0.0,0.0
M126A,Hap1,,51.6099971,0.0,0.0
M127A,Hap1,,62.5745425,0.0,0.0
M128A,Hap1,,53.48649245,0.0,0.0
M129A,Hap1,,51.53742385,0.0,0.0
M12A,Hap1,,48.6160517,0.0,0.0
M130A,Hap1,,63.72522825,0.0,0.0
M131A,Hap1,,53.8676848,0.0,0.0
M132A,Hap1,,59.2289192,0.0,0.0
M133A,Hap1,,50.086025,0.0,0.0
M134A,Hap1,,59.662132,0.0,0.0
M135A,Hap1,,51.32368385,0.0,0.0
M136A,Hap1,,62.7930522,0.0,0.0
M137A,Hap1,,68.2242667,0.0,0.0
M138A,Hap1,,42.73029204,0.0,0.0
M139A,Hap1,,54.25243305,0.0,0.0
M13A,Hap1,,46.70566334,0.0,0.0
M140A,Hap1,,51.70780665,0.0,0.0
M141A,Hap1,,48.51927444,0.0,0.0
M142A,Hap1,,52.8132718,0.0,0.0
M143A,Hap1,,48.18021901,0.0,0.0
M144A,Hap1,,45.72992849,0.0,0.0
M145A,Hap1,,47.94922841,0.0,0.0
