haplotype_name,haplotype_count,haplotype_freq,phenotype_mean,phenotype_sd
Hap1,144,0.2229,52.9285,4.9298
Hap10,8,0.0124,50.3073,4.4275
Hap100,1,0.0015,,
Hap101,1,0.0015,52.9915,
Hap11,8,0.0124,50.7863,3.5024
Hap12,8,0.0124,51.2068,7.7087
Hap13,8,0.0124,52.6771,7.1718
Hap14,7,0.0108,57.8277,5.2599
Hap15,7,0.0108,59.2323,5.6259
Hap16,7,0.0108,55.8672,8.1203
Hap17,7,0.0108,53.5012,9.2973
Hap18,7,0.0108,53.1334,4.5418
Hap19,5,0.0077,49.0286,3.5667
Hap2,92,0.1424,56.6778,7.2627
Hap20,5,0.0077,55.0574,8.6818
Hap21,5,0.0077,56.9941,3.8353
Hap22,4,0.0062,55.9865,7.3011
Hap23,4,0.0062,55.4671,3.0335
Hap24,4,0.0062,48.5572,3.6162
Hap25,4,0.0062,47.6661,4.9061
Hap26,3,0.0046,,
Hap27,3,0.0046,39.9669,5.6553
Hap28,3,0.0046,51.1466,4.7048
Hap29,3,0.0046,51.5273,6.4462
Hap3,86,0.1331,57.9346,7.2608
Hap30,3,0.0046,41.9274,7.0558
Hap31,3,0.0046,48.5469,2.7832
Hap32,3,0.0046,50.1279,4.7567
Hap33,2,0.0031,53.1727,4.2802
Hap34,2,0.0031,47.8326,3.1498
Hap35,2,0.0031,44.9517,3.0074
Hap36,2,0.0031,57.2645,
Hap37,2,0.0031,60.1493,5.9269
Hap38,2,0.0031,,
Hap39,2,0.0031,55.7326,4.6708
Hap4,35,0.0542,54.8533,6.0944
Hap40,2,0.0031,49.5989,0.4651
Hap41,2,0.0031,49.784,
Hap42,2,0.0031,64.4935,
Hap43,2,0.0031,65.715,6.7004
Hap44,2,0.0031,52.6602,2.461
Hap45,2,0.0031,48.4066,5.4181
Hap46,2,0.0031,49.5811,2.4482
Hap47,1,0.0015,40.2596,
Hap48,1,0.0015,56.7258,
Hap49,1,0.0015,61.1639,
Hap5,27,0.0418,54.931,7.5335
Hap50,1,0.0015,42.7303,
Hap51,1,0.0015,47.6495,
Hap52,1,0.0015,47.5031,
Hap53,1,0.0015,48.5049,
Hap54,1,0.0015,43.36,
Hap55,1,0.0015,52.7689,
Hap56,1,0.0015,56.8529,
Hap57,1,0.0015,53.2169,
Hap58,1,0.0015,60.2208,
Hap59,1,0.0015,46.746,
Hap6,20,0.031,54.9727,7.7846
Hap60,1,0.0015,43.2981,
Hap61,1,0.0015,54.067,
Hap62,1,0.0015,63.3355,
Hap63,1,0.0015,49.4539,
Hap64,1,0.0015,53.0357,
Hap65,1,0.0015,48.2476,
Hap66,1,0.0015,51.0863,
Hap67,1,0.0015,71.1904,
Hap68,1,0.0015,69.8285,
Hap69,1,0.0015,61.0284,
Hap7,16,0.0248,59.87,10.4291
Hap70,1,0.0015,49.6047,
Hap71,1,0.0015,47.637,
Hap72,1,0.0015,56.2182,
Hap73,1,0.0015,62.1805,
Hap74,1,0.0015,64.3755,
Hap75,1,0.0015,53.3122,
Hap76,1,0.0015,57.4537,
Hap77,1,0.0015,61.6344,
Hap78,1,0.0015,67.6178,
Hap79,1,0.0015,,
Hap8,13,0.0201,55.4971,4.2807
Hap80,1,0.0015,40.3938,
Hap81,1,0.0015,49.3012,
Hap82,1,0.0015,,
Hap83,1,0.0015,,
Hap84,1,0.0015,46.3481,
Hap85,1,0.0015,57.4409,
Hap86,1,0.0015,53.2014,
Hap87,1,0.0015,51.944,
Hap88,1,0.0015,56.2087,
Hap89,1,0.0015,52.9199,
Hap9,11,0.017,54.8819,10.3317
Hap90,1,0.0015,72.9352,
Hap91,1,0.0015,49.9223,
Hap92,1,0.0015,46.5244,
Hap93,1,0.0015,46.8406,
Hap94,1,0.0015,,
Hap95,1,0.0015,54.1208,
Hap96,1,0.0015,,
Hap97,1,0.0015,47.6104,
Hap98,1,0.0015,40.9765,
Hap99,1,0.0015,43.8607,
