SampleID,Hap_Name,Haplotype_Seq
Z23C6_001,Hap1,
Z23C6_002,Hap1,
Z23C6_003,Hap1,
Z23C6_004,Hap1,
Z23C6_005,Hap1,
Z23C6_006,Hap1,
Z23C6_007,Hap1,
Z23C6_008,Hap1,
Z23C6_009,Hap1,
Z23C6_010,Hap1,
Z23C6_011,Hap1,
Z23C6_012,Hap1,
Z23C6_013,Hap1,
Z23C6_014,Hap1,
Z23C6_015,Hap1,
Z23C6_018,Hap1,
Z23C6_019,Hap1,
Z23C6_022,Hap1,
Z23C6_025,Hap1,
Z23C6_026,Hap1,
Z23C6_027,Hap1,
Z23C6_028,Hap1,
Z23C6_032,Hap1,
Z23C6_033,Hap1,
Z23C6_035,Hap1,
Z23C6_037,Hap1,
Z23C6_038,Hap1,
Z23C6_039,Hap1,
Z23C6_040,Hap1,
Z23C6_041,Hap1,
Z23C6_047,Hap1,
Z23C6_051,Hap1,
Z23C6_053,Hap1,
Z23C6_055,Hap1,
Z23C6_057,Hap1,
Z23C6_060,Hap1,
Z23C6_061,Hap1,
Z23C6_068,Hap1,
Z23C6_069,Hap1,
Z23C6_070,Hap1,
Z23C6_071,Hap1,
Z23C6_072,Hap1,
Z23C6_073,Hap1,
Z23C6_074,Hap1,
Z23C6_075,Hap1,
Z23C6_076,Hap1,
Z23C6_077,Hap1,
Z23C6_078,Hap1,
Z23C6_079,Hap1,
Z23C6_080,Hap1,
Z23C6_081,Hap1,
Z23C6_082,Hap1,
Z23C6_083,Hap1,
Z23C6_084,Hap1,
Z23C6_087,Hap1,
Z23C6_089,Hap1,
Z23C6_092,Hap1,
Z23C6_093,Hap1,
Z23C6_094,Hap1,
Z23C6_095,Hap1,
Z23C6_096,Hap1,
Z23C6_097,Hap1,
Z23C6_098,Hap1,
Z23C6_099,Hap1,
Z23C6_100,Hap1,
Z23C6_101,Hap1,
Z23C6_102,Hap1,
Z23C6_103,Hap1,
Z23C6_104,Hap1,
Z23C6_105,Hap1,
Z23C6_106,Hap1,
Z23C6_107,Hap1,
Z23C6_108,Hap1,
Z23C6_109,Hap1,
Z23C6_110,Hap1,
Z23C6_111,Hap1,
Z23C6_112,Hap1,
Z23C6_113,Hap1,
Z23C6_114,Hap1,
Z23C6_115,Hap1,
Z23C6_116,Hap1,
Z23C6_117,Hap1,
Z23C6_118,Hap1,
Z23C6_119,Hap1,
Z23C6_120,Hap1,
Z23C6_121,Hap1,
