Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap13,6,65.282,+10.564,"[6.64, 14.49]",1.692,large,0.0024***,positive (+)
Hap11,2,44.408,-10.311,"[-11.52, -9.10]",-1.648,large,0.0001***,negative (-)
Hap16,5,47.147,-7.571,"[-12.27, -2.88]",-1.210,large,0.0312*,negative (-)
Hap6,9,49.106,-5.613,"[-8.07, -3.16]",-0.906,large,0.0011***,negative (-)
Hap10,6,59.708,+4.990,"[-2.81, 12.78]",0.783,medium,0.2639,positive (+)
Hap15,5,50.033,-4.685,"[-8.58, -0.79]",-0.751,medium,0.0721,negative (-)
Hap9,7,51.160,-3.558,"[-6.84, -0.28]",-0.572,medium,0.0719,negative (-)
Hap5,22,51.413,-3.305,"[-7.39, 0.78]",-0.498,small,0.1267,negative (-)
Hap8,10,51.485,-3.234,"[-6.14, -0.33]",-0.521,medium,0.0520,negative (-)
Hap2,100,57.923,+3.204,"[1.56, 4.85]",0.486,small,0.0002***,positive (+)
Hap7,8,56.653,+1.935,"[-2.94, 6.80]",0.307,small,0.4602,positive (+)
Hap4,41,53.048,-1.670,"[-3.85, 0.51]",-0.264,small,0.1390,negative (-)
Hap3,73,56.162,+1.443,"[-0.55, 3.43]",0.215,small,0.1580,positive (+)
Hap14,5,53.331,-1.387,"[-7.49, 4.72]",-0.221,small,0.6783,negative (-)
Hap12,6,55.411,+0.693,"[-6.75, 8.14]",0.109,negligible,0.8622,positive (+)
Hap1,211,54.719,REF,-,-,-,-,-
