Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap12,3,43.896,-13.139,"[-14.69, -11.59]",-1.739,large,0.0000***,negative (-)
Hap29,3,44.254,-12.782,"[-19.02, -6.54]",-1.688,large,0.0514,negative (-)
Hap48,2,44.797,-12.238,"[-15.41, -9.07]",-1.616,large,0.0518,negative (-)
Hap44,2,45.022,-12.013,"[-15.56, -8.47]",-1.586,large,0.0673,negative (-)
Hap36,2,48.421,-8.615,"[-11.28, -5.95]",-1.137,large,0.0523,negative (-)
Hap32,3,48.759,-8.277,"[-9.88, -6.67]",-1.096,large,0.0000***,negative (-)
Hap15,4,48.853,-8.182,"[-18.33, 1.96]",-1.071,large,0.2101,negative (-)
Hap40,2,48.912,-8.123,"[-19.06, 2.81]",-1.070,large,0.3799,negative (-)
Hap10,11,49.273,-7.762,"[-11.23, -4.30]",-1.034,large,0.0008***,negative (-)
Hap17,5,49.351,-7.685,"[-20.31, 4.94]",-0.987,large,0.2978,negative (-)
Hap26,4,49.610,-7.425,"[-12.15, -2.70]",-0.983,large,0.0470*,negative (-)
Hap30,3,49.692,-7.344,"[-15.05, 0.36]",-0.968,large,0.1980,negative (-)
Hap46,1,49.784,-7.252,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,7,49.924,-7.112,"[-10.50, -3.72]",-0.946,large,0.0040***,negative (-)
Hap33,2,51.249,-5.786,"[-7.32, -4.26]",-0.764,medium,0.0023***,negative (-)
Hap16,6,51.265,-5.771,"[-9.43, -2.11]",-0.767,medium,0.0215*,negative (-)
Hap7,10,51.582,-5.453,"[-7.78, -3.12]",-0.731,medium,0.0004***,negative (-)
Hap27,3,51.606,-5.430,"[-7.72, -3.14]",-0.719,medium,0.0156*,negative (-)
Hap41,2,51.803,-5.232,"[-10.31, -0.15]",-0.691,medium,0.2756,negative (-)
Hap9,8,51.854,-5.181,"[-8.33, -2.04]",-0.691,medium,0.0104*,negative (-)
Hap19,4,51.972,-5.063,"[-10.32, 0.20]",-0.670,medium,0.1482,negative (-)
Hap22,4,52.075,-4.960,"[-16.77, 6.85]",-0.646,medium,0.4699,negative (-)
Hap24,4,52.090,-4.945,"[-15.11, 5.22]",-0.647,medium,0.4093,negative (-)
Hap3,31,61.872,+4.837,"[1.61, 8.07]",0.625,medium,0.0057***,positive (+)
Hap47,2,52.295,-4.741,"[-17.15, 7.67]",-0.624,medium,0.5893,negative (-)
Hap38,2,52.370,-4.666,"[-23.44, 14.11]",-0.611,medium,0.7110,negative (-)
Hap31,3,52.397,-4.638,"[-18.10, 8.82]",-0.606,medium,0.5682,negative (-)
Hap18,6,52.499,-4.536,"[-9.12, 0.05]",-0.601,medium,0.1039,negative (-)
Hap34,3,52.601,-4.434,"[-12.81, 3.94]",-0.584,medium,0.4054,negative (-)
Hap37,2,52.647,-4.389,"[-9.54, 0.76]",-0.579,medium,0.3276,negative (-)
Hap42,2,52.780,-4.256,"[-7.74, -0.77]",-0.562,medium,0.2148,negative (-)
Hap45,2,52.947,-4.089,"[-6.71, -1.46]",-0.540,medium,0.1375,negative (-)
Hap2,100,53.156,-3.879,"[-5.22, -2.54]",-0.585,medium,0.0000***,negative (-)
Hap28,3,53.182,-3.854,"[-5.32, -2.39]",-0.510,medium,0.0006***,negative (-)
Hap23,3,60.368,+3.333,"[0.97, 5.69]",0.441,small,0.0660,positive (+)
Hap25,4,53.774,-3.262,"[-12.14, 5.61]",-0.428,small,0.5220,negative (-)
Hap14,8,53.808,-3.228,"[-10.16, 3.71]",-0.420,small,0.3905,negative (-)
Hap4,24,54.990,-2.046,"[-4.19, 0.10]",-0.279,small,0.0685,negative (-)
Hap20,3,58.562,+1.526,"[-5.53, 8.59]",0.201,small,0.7113,positive (+)
Hap21,4,55.537,-1.498,"[-9.14, 6.14]",-0.197,negligible,0.7254,negative (-)
Hap39,2,55.552,-1.483,"[-9.74, 6.78]",-0.196,negligible,0.7830,negative (-)
Hap6,17,55.623,-1.412,"[-3.98, 1.15]",-0.190,negligible,0.2918,negative (-)
Hap11,9,55.686,-1.349,"[-3.88, 1.18]",-0.181,negligible,0.3170,negative (-)
Hap43,2,55.900,-1.135,"[-20.01, 17.74]",-0.149,negligible,0.9252,negative (-)
Hap8,9,57.547,+0.512,"[-5.02, 6.05]",0.067,negligible,0.8603,positive (+)
Hap5,19,57.469,+0.433,"[-2.56, 3.43]",0.058,negligible,0.7793,positive (+)
Hap35,3,56.913,-0.122,"[-8.41, 8.16]",-0.016,negligible,0.9795,negative (-)
Hap1,195,57.036,REF,-,-,-,-,-
