Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap16,4,44.058,-11.193,"[-18.46, -3.92]",-1.779,large,0.0553,negative (-)
Hap14,6,47.133,-8.119,"[-10.77, -5.46]",-1.302,large,0.0010***,negative (-)
Hap41,1,48.021,-7.230,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap33,3,48.300,-6.951,"[-10.65, -3.25]",-1.110,large,0.0584,negative (-)
Hap6,7,48.508,-6.743,"[-10.00, -3.49]",-1.080,large,0.0053***,negative (-)
Hap25,4,61.602,+6.350,"[-0.66, 13.36]",1.010,large,0.1717,positive (+)
Hap40,2,48.963,-6.288,"[-10.52, -2.06]",-1.003,large,0.1976,negative (-)
Hap8,9,49.084,-6.168,"[-10.05, -2.28]",-0.984,large,0.0131*,negative (-)
Hap26,3,49.113,-6.139,"[-14.54, 2.26]",-0.976,large,0.2866,negative (-)
Hap28,3,49.334,-5.917,"[-9.46, -2.38]",-0.945,large,0.0722,negative (-)
Hap9,7,49.393,-5.858,"[-10.57, -1.15]",-0.933,large,0.0486*,negative (-)
Hap39,2,49.547,-5.705,"[-12.42, 1.01]",-0.909,large,0.3396,negative (-)
Hap7,7,49.687,-5.565,"[-9.34, -1.79]",-0.890,large,0.0252*,negative (-)
Hap22,4,60.792,+5.540,"[-0.40, 11.49]",0.883,large,0.1623,positive (+)
Hap10,8,49.769,-5.482,"[-10.80, -0.17]",-0.868,large,0.0814,negative (-)
Hap17,4,49.963,-5.288,"[-7.74, -2.84]",-0.846,large,0.0160*,negative (-)
Hap23,4,50.219,-5.032,"[-10.53, 0.46]",-0.802,large,0.1672,negative (-)
Hap20,3,50.379,-4.872,"[-9.96, 0.22]",-0.777,medium,0.1958,negative (-)
Hap32,3,51.058,-4.194,"[-14.82, 6.44]",-0.665,medium,0.5196,negative (-)
Hap3,44,59.029,+3.778,"[0.93, 6.63]",0.557,medium,0.0123*,positive (+)
Hap27,3,51.527,-3.724,"[-11.06, 3.61]",-0.593,medium,0.4226,negative (-)
Hap38,2,51.867,-3.385,"[-5.58, -1.19]",-0.540,medium,0.1571,negative (-)
Hap37,2,58.464,+3.212,"[-5.31, 11.74]",0.512,medium,0.5934,positive (+)
Hap12,5,58.454,+3.202,"[-1.12, 7.53]",0.512,medium,0.2161,positive (+)
Hap18,5,52.237,-3.014,"[-9.40, 3.37]",-0.479,small,0.4056,negative (-)
Hap5,12,52.357,-2.894,"[-7.45, 1.66]",-0.456,small,0.2373,negative (-)
Hap19,4,52.428,-2.823,"[-8.88, 3.24]",-0.450,small,0.4266,negative (-)
Hap43,2,57.990,+2.738,"[-11.59, 17.07]",0.435,small,0.7716,positive (+)
Hap13,4,53.248,-2.003,"[-4.79, 0.79]",-0.321,small,0.2417,negative (-)
Hap2,59,57.202,+1.950,"[-0.11, 4.01]",0.299,small,0.0679,positive (+)
Hap29,3,57.065,+1.814,"[-8.99, 12.62]",0.288,small,0.7731,positive (+)
Hap21,4,56.588,+1.336,"[-4.25, 6.92]",0.213,small,0.6698,positive (+)
Hap24,4,53.929,-1.322,"[-7.06, 4.41]",-0.211,small,0.6812,negative (-)
Hap11,7,53.950,-1.301,"[-4.86, 2.25]",-0.208,small,0.4978,negative (-)
Hap4,31,54.219,-1.033,"[-3.88, 1.82]",-0.160,negligible,0.4824,negative (-)
Hap36,2,54.270,-0.981,"[-1.84, -0.13]",-0.157,negligible,0.0357*,negative (-)
Hap30,2,54.324,-0.928,"[-4.66, 2.81]",-0.148,negligible,0.7063,negative (-)
Hap42,2,55.911,+0.660,"[-13.03, 14.35]",0.105,negligible,0.9400,positive (+)
Hap34,2,54.665,-0.587,"[-9.38, 8.21]",-0.093,negligible,0.9170,negative (-)
Hap15,6,55.732,+0.480,"[-4.89, 5.85]",0.076,negligible,0.8673,positive (+)
Hap1,265,55.251,REF,-,-,-,-,-
