SampleID,Hap_Name,Haplotype_Seq
M100A,Hap1,
M101A,Hap1,
M102A,Hap1,
M103A,Hap1,
M104A,Hap1,
M105A,Hap1,
M106A,Hap1,
M107A,Hap1,
M108A,Hap1,
M109A,Hap1,
M10A,Hap1,
M110A,Hap1,
M111A,Hap1,
M112A,Hap1,
M113A,Hap1,
M114A,Hap1,
M115A,Hap1,
M116A,Hap1,
M117A,Hap1,
M118A,Hap1,
M119A,Hap1,
M11A,Hap1,
M120A,Hap1,
M121A,Hap1,
M122A,Hap1,
M123A,Hap1,
M124A,Hap1,
M125A,Hap1,
M126A,Hap1,
M127A,Hap1,
M128A,Hap1,
M129A,Hap1,
M12A,Hap1,
M130A,Hap1,
M131A,Hap1,
M132A,Hap1,
M133A,Hap1,
M134A,Hap1,
M135A,Hap1,
M136A,Hap1,
M137A,Hap1,
M138A,Hap1,
M139A,Hap1,
M13A,Hap1,
M140A,Hap1,
M141A,Hap1,
M142A,Hap1,
M143A,Hap1,
M144A,Hap1,
M145A,Hap1,
M146A,Hap1,
M147A,Hap1,
M148A,Hap1,
M149A,Hap1,
M14A,Hap1,
M150A,Hap1,
M151A,Hap1,
M152A,Hap1,
M153A,Hap1,
M154A,Hap1,
M155A,Hap1,
M156A,Hap1,
M157A,Hap1,
M158A,Hap1,
M159A,Hap1,
M15A,Hap1,
M160A,Hap1,
M161A,Hap1,
M162A,Hap1,
M163A,Hap1,
M164A,Hap1,
M165A,Hap1,
M166A,Hap1,
M167A,Hap1,
M168A,Hap1,
M169A,Hap1,
M16A,Hap1,
M170A,Hap1,
M171A,Hap1,
M172A,Hap1,
M173A,Hap1,
M174A,Hap1,
M175A,Hap1,
M176A,Hap1,
M177A,Hap1,
M178A,Hap1,
M179A,Hap1,
M17A,Hap1,
M180A,Hap1,
M181A,Hap1,
M182A,Hap1,
M183A,Hap1,
M184A,Hap1,
M185A,Hap1,
M186A,Hap1,
M187A,Hap1,
M188A,Hap1,
M189A,Hap1,
M18A,Hap1,
M190A,Hap1,
M191A,Hap1,
M192A,Hap1,
M193A,Hap1,
M194A,Hap1,
M195A,Hap1,
M196A,Hap1,
M197A,Hap1,
M198A,Hap1,
M199A,Hap1,
M19A,Hap1,
M1A,Hap1,
M200A,Hap1,
M201A,Hap1,
M202A,Hap1,
M203A,Hap1,
M204A,Hap1,
M205A,Hap1,
M206A,Hap1,
M207A,Hap1,
M208A,Hap1,
M209A,Hap1,
M20A,Hap1,
M210A,Hap1,
M211A,Hap1,
M212A,Hap1,
M213A,Hap1,
M214A,Hap1,
M215A,Hap1,
M216A,Hap1,
M217A,Hap1,
M218A,Hap1,
M219A,Hap1,
M21A,Hap1,
M220A,Hap1,
M221A,Hap1,
M222A,Hap1,
M223A,Hap1,
M224A,Hap1,
M225A,Hap1,
M226A,Hap1,
M227A,Hap1,
M228A,Hap1,
M229A,Hap1,
M22A,Hap1,
M230A,Hap1,
M231A,Hap1,
M232A,Hap1,
M233A,Hap1,
M234A,Hap1,
M235A,Hap1,
M236A,Hap1,
M237A,Hap1,
M238A,Hap1,
M239A,Hap1,
M23A,Hap1,
M240A,Hap1,
M241A,Hap1,
M242A,Hap1,
M243A,Hap1,
M244A,Hap1,
M245A,Hap1,
M246A,Hap1,
M247A,Hap1,
M248A,Hap1,
M249A,Hap1,
M24A,Hap1,
M250A,Hap1,
M251A,Hap1,
M252A,Hap1,
M253A,Hap1,
M254A,Hap1,
M255A,Hap1,
M256A,Hap1,
M257A,Hap1,
M258A,Hap1,
M259A,Hap1,
M25A,Hap1,
M260A,Hap1,
M261A,Hap1,
M262A,Hap1,
M263A,Hap1,
M264A,Hap1,
M265A,Hap1,
M266A,Hap1,
M267A,Hap1,
M268A,Hap1,
M269A,Hap1,
M26A,Hap1,
M270A,Hap1,
M271A,Hap1,
M272A,Hap1,
M273A,Hap1,
M274A,Hap1,
M275A,Hap1,
M276A,Hap1,
M277A,Hap1,
M278A,Hap1,
M279A,Hap1,
M27A,Hap1,
M280A,Hap1,
M281A,Hap1,
