haplotype_name,haplotype_count,haplotype_freq,phenotype_mean,phenotype_sd
Hap14,1,0.0067,96.0,
Hap5,12,0.0805,104.9167,18.5691
Hap7,6,0.0403,103.1667,3.9707
Hap2,23,0.1544,94.1304,20.3834
Hap1,27,0.1812,87.0741,14.3418
Hap8,4,0.0268,93.5,27.2336
Hap15,1,0.0067,88.0,
Hap4,13,0.0872,100.5385,25.297
Hap3,23,0.1544,96.7826,11.481
Hap9,3,0.0201,59.6667,15.5671
Hap16,1,0.0067,89.0,
Hap10,2,0.0134,78.5,13.435
Hap11,2,0.0134,79.0,5.6569
Hap17,1,0.0067,104.0,
Hap6,11,0.0738,87.0909,21.6354
Hap18,1,0.0067,109.0,
Hap12,2,0.0134,107.5,3.5355
Hap19,1,0.0067,67.0,
Hap20,1,0.0067,103.0,
Hap21,1,0.0067,112.0,
Hap22,1,0.0067,124.0,
Hap23,1,0.0067,102.0,
Hap13,2,0.0134,83.5,23.3345
Hap24,1,0.0067,95.0,
Hap25,1,0.0067,112.0,
Hap26,1,0.0067,89.0,
Hap27,1,0.0067,85.0,
Hap28,1,0.0067,101.0,
Hap29,1,0.0067,117.0,
Hap30,1,0.0067,105.0,
Hap31,1,0.0067,117.0,
Hap32,1,0.0067,107.0,
