Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap14,1,10.200,+1.653,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,10.190,+1.643,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap31,1,7.190,-1.357,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap8,4,7.295,-1.252,"[-1.83, -0.68]",-1.503,large,0.0046***,negative (-)
Hap9,3,7.320,-1.227,"[-1.72, -0.73]",-1.465,large,0.0030***,negative (-)
Hap16,1,9.770,+1.223,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap7,6,9.645,+1.098,"[0.40, 1.79]",1.294,large,0.0144*,positive (+)
Hap5,12,7.511,-1.036,"[-1.52, -0.55]",-1.287,large,0.0003***,negative (-)
Hap13,2,7.550,-0.997,"[-1.32, -0.67]",-1.175,large,0.0000***,negative (-)
Hap21,1,9.460,+0.913,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,9.430,+0.883,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap27,1,9.420,+0.873,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap25,1,9.370,+0.823,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap28,1,9.360,+0.813,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap10,2,7.750,-0.797,"[-1.21, -0.38]",-0.939,large,0.0084***,negative (-)
Hap15,1,7.770,-0.777,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap3,23,9.307,+0.760,"[0.35, 1.17]",0.999,large,0.0007***,positive (+)
Hap18,1,7.790,-0.757,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap19,1,7.840,-0.707,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap11,2,9.235,+0.688,"[-0.15, 1.53]",0.805,large,0.3002,positive (+)
Hap12,2,9.230,+0.683,"[-0.26, 1.62]",0.798,medium,0.3488,positive (+)
Hap29,1,7.870,-0.677,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap30,1,8.070,-0.477,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,1,8.130,-0.417,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap26,1,8.220,-0.327,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap17,1,8.270,-0.277,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap22,1,8.720,+0.173,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,13,8.677,+0.130,"[-0.51, 0.77]",0.143,negligible,0.6932,positive (+)
Hap2,23,8.650,+0.104,"[-0.45, 0.65]",0.107,negligible,0.7135,positive (+)
Hap32,1,8.450,-0.097,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap6,11,8.524,-0.023,"[-0.48, 0.43]",-0.029,negligible,0.9214,negative (-)
Hap1,27,8.547,REF,-,-,-,-,-
