Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap18,1,1.730,-0.372,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap29,1,1.760,-0.342,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,2,1.800,-0.302,"[-0.37, -0.24]",-1.782,large,0.0000***,negative (-)
Hap19,1,2.380,+0.278,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap27,1,1.850,-0.252,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap21,1,1.890,-0.212,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,2,2.295,+0.193,"[0.05, 0.34]",1.131,large,0.1496,positive (+)
Hap24,1,1.910,-0.192,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap7,6,1.920,-0.182,"[-0.26, -0.10]",-1.138,large,0.0002***,negative (-)
Hap28,1,1.930,-0.172,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap14,1,1.960,-0.142,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap31,1,2.240,+0.138,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,2,1.965,-0.137,"[-0.21, -0.07]",-0.809,large,0.0014***,negative (-)
Hap25,1,1.970,-0.132,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap9,3,2.217,+0.114,"[0.02, 0.20]",0.684,medium,0.0376*,positive (+)
Hap15,1,2.000,-0.102,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap10,2,2.180,+0.078,"[-0.32, 0.48]",0.437,small,0.7641,positive (+)
Hap17,1,2.180,+0.078,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,23,2.027,-0.075,"[-0.17, 0.02]",-0.437,small,0.1297,negative (-)
Hap4,13,2.175,+0.072,"[-0.02, 0.17]",0.450,small,0.1512,positive (+)
Hap23,1,2.030,-0.072,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap5,12,2.030,-0.072,"[-0.15, 0.01]",-0.475,small,0.0889,negative (-)
Hap26,1,2.040,-0.062,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,1,2.160,+0.058,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap22,1,2.050,-0.052,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap32,1,2.050,-0.052,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap8,4,2.153,+0.050,"[-0.05, 0.15]",0.304,small,0.3369,positive (+)
Hap3,23,2.054,-0.048,"[-0.14, 0.04]",-0.288,small,0.3133,negative (-)
Hap6,11,2.061,-0.041,"[-0.14, 0.06]",-0.255,small,0.4274,negative (-)
Hap16,1,2.110,+0.008,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap30,1,2.110,+0.008,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap1,27,2.102,REF,-,-,-,-,-
