Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap26,1,39.570,+16.226,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap29,1,15.860,-7.484,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap16,1,30.350,+7.006,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap19,1,30.310,+6.966,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,29.050,+5.706,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap15,1,17.760,-5.584,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap3,23,28.635,+5.291,"[1.74, 8.84]",0.798,medium,0.0055***,positive (+)
Hap13,2,27.885,+4.541,"[0.65, 8.43]",0.585,medium,0.0665,positive (+)
Hap4,13,27.697,+4.353,"[-0.08, 8.78]",0.591,medium,0.0636,positive (+)
Hap18,1,19.120,-4.224,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,1,27.220,+3.876,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,3,19.527,-3.817,"[-10.00, 2.36]",-0.494,small,0.3038,negative (-)
Hap7,6,26.805,+3.461,"[-2.06, 8.99]",0.455,small,0.2487,positive (+)
Hap17,1,20.050,-3.294,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap21,1,26.250,+2.906,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap32,1,26.180,+2.836,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap27,1,20.550,-2.794,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap8,4,20.605,-2.739,"[-7.26, 1.78]",-0.362,small,0.2659,negative (-)
Hap5,12,20.883,-2.462,"[-5.98, 1.05]",-0.359,small,0.1783,negative (-)
Hap22,1,25.700,+2.356,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,11,25.238,+1.894,"[-1.97, 5.76]",0.268,small,0.3442,positive (+)
Hap31,1,21.490,-1.854,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap30,1,25.190,+1.846,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,25.110,+1.766,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,2,21.615,-1.729,"[-5.27, 1.81]",-0.223,small,0.3620,negative (-)
Hap25,1,24.920,+1.576,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,22.020,-1.324,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap10,2,24.335,+0.991,"[-9.21, 11.19]",0.126,negligible,0.8761,positive (+)
Hap12,2,22.750,-0.594,"[-6.94, 5.76]",-0.076,negligible,0.8746,negative (-)
Hap28,1,23.830,+0.486,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,23,22.907,-0.437,"[-3.59, 2.72]",-0.072,negligible,0.7878,negative (-)
Hap1,27,23.344,REF,-,-,-,-,-
