Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap29,1,2.460,-0.925,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap27,1,2.550,-0.835,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap14,1,2.630,-0.755,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap11,2,2.725,-0.660,"[-0.84, -0.48]",-1.630,large,0.0000***,negative (-)
Hap28,1,2.730,-0.655,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap15,1,4.020,+0.635,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap25,1,2.850,-0.535,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,2,2.885,-0.500,"[-0.66, -0.34]",-1.236,large,0.0000***,negative (-)
Hap26,1,2.910,-0.475,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap18,1,2.930,-0.455,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap17,1,3.830,+0.445,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap19,1,3.820,+0.435,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,13,3.793,+0.408,"[0.19, 0.63]",1.083,large,0.0009***,positive (+)
Hap23,1,2.990,-0.395,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap7,6,3.015,-0.370,"[-0.73, -0.01]",-0.900,large,0.0814,negative (-)
Hap9,3,3.660,+0.275,"[0.07, 0.48]",0.689,medium,0.0239*,positive (+)
Hap2,23,3.128,-0.257,"[-0.54, 0.02]",-0.521,medium,0.0812,negative (-)
Hap22,1,3.140,-0.245,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap10,2,3.625,+0.240,"[-0.08, 0.56]",0.590,medium,0.3053,positive (+)
Hap30,1,3.160,-0.225,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap31,1,3.610,+0.225,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap13,2,3.545,+0.160,"[-0.20, 0.52]",0.392,small,0.4991,positive (+)
Hap5,12,3.532,+0.146,"[-0.05, 0.34]",0.403,small,0.1494,positive (+)
Hap16,1,3.500,+0.115,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap20,1,3.500,+0.115,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,3.480,+0.095,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap21,1,3.470,+0.085,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,11,3.303,-0.082,"[-0.41, 0.25]",-0.189,negligible,0.6323,negative (-)
Hap8,4,3.463,+0.077,"[-0.08, 0.24]",0.198,negligible,0.3531,positive (+)
Hap32,1,3.440,+0.055,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap3,23,3.344,-0.041,"[-0.27, 0.18]",-0.101,negligible,0.7228,negative (-)
Hap1,27,3.385,REF,-,-,-,-,-
