Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap22,1,124.000,+36.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap29,1,117.000,+29.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap31,1,117.000,+29.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,3,59.667,-27.407,"[-45.84, -8.98]",-1.899,large,0.0811,negative (-)
Hap21,1,112.000,+24.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap25,1,112.000,+24.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap18,1,109.000,+21.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap12,2,107.500,+20.426,"[13.13, 27.72]",1.450,large,0.0034***,positive (+)
Hap19,1,67.000,-20.074,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap32,1,107.000,+19.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap30,1,105.000,+17.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap5,12,104.917,+17.843,"[6.03, 29.66]",1.135,large,0.0087***,positive (+)
Hap17,1,104.000,+16.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap7,6,103.167,+16.093,"[9.82, 22.37]",1.216,large,0.0000***,positive (+)
Hap20,1,103.000,+15.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,102.000,+14.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap28,1,101.000,+13.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,13,100.538,+13.464,"[-1.31, 28.24]",0.727,medium,0.0933,positive (+)
Hap3,23,96.783,+9.709,"[2.55, 16.87]",0.741,medium,0.0107*,positive (+)
Hap14,1,96.000,+8.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap10,2,78.500,-8.574,"[-27.96, 10.82]",-0.599,medium,0.5272,negative (-)
Hap11,2,79.000,-8.074,"[-17.60, 1.45]",-0.572,medium,0.2293,negative (-)
Hap24,1,95.000,+7.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,23,94.130,+7.056,"[-2.88, 16.99]",0.406,small,0.1718,positive (+)
Hap8,4,93.500,+6.426,"[-20.81, 33.66]",0.398,small,0.6729,positive (+)
Hap13,2,83.500,-3.574,"[-36.36, 29.22]",-0.242,small,0.8645,negative (-)
Hap27,1,85.000,-2.074,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap16,1,89.000,+1.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap26,1,89.000,+1.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap15,1,88.000,+0.926,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,11,87.091,+0.017,"[-13.87, 13.90]",0.001,negligible,0.9981,positive (+)
Hap1,27,87.074,REF,-,-,-,-,-
