Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap30,1,18.000,+7.080,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,4.400,-6.520,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap28,1,16.600,+5.680,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap15,1,5.400,-5.520,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,1,16.400,+5.480,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap8,4,16.288,+5.367,"[2.91, 7.83]",1.036,large,0.0004***,positive (+)
Hap27,1,15.600,+4.680,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,11,15.436,+4.516,"[0.87, 8.16]",0.843,large,0.0249*,positive (+)
Hap25,1,15.200,+4.280,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap7,6,6.800,-4.120,"[-6.31, -1.93]",-0.823,large,0.0009***,negative (-)
Hap16,1,6.800,-4.120,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap5,12,7.167,-3.754,"[-6.38, -1.13]",-0.777,medium,0.0082***,negative (-)
Hap26,1,14.200,+3.280,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,7.800,-3.120,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap2,23,13.988,+3.068,"[0.33, 5.80]",0.613,medium,0.0329*,positive (+)
Hap22,1,13.800,+2.880,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,8.400,-2.520,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,2,8.400,-2.520,"[-4.89, -0.15]",-0.471,small,0.0588,negative (-)
Hap11,2,13.250,+2.330,"[-1.18, 5.84]",0.434,small,0.3082,positive (+)
Hap31,1,8.600,-2.320,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap17,1,9.200,-1.720,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap3,23,9.372,-1.549,"[-3.77, 0.67]",-0.364,small,0.1811,negative (-)
Hap32,1,9.600,-1.320,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap4,13,9.623,-1.297,"[-4.91, 2.32]",-0.238,small,0.4887,negative (-)
Hap10,2,9.800,-1.120,"[-9.23, 6.98]",-0.205,small,0.8271,negative (-)
Hap29,1,10.000,-0.920,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap21,1,10.200,-0.720,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,2,10.300,-0.620,"[-8.92, 7.67]",-0.114,negligible,0.9051,negative (-)
Hap18,1,11.000,+0.080,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap19,1,11.000,+0.080,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,3,10.933,+0.013,"[-6.90, 6.92]",0.002,negligible,0.9973,positive (+)
Hap1,27,10.920,REF,-,-,-,-,-
