Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap30,1,18.000,+6.756,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,4.600,-6.644,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap15,1,5.400,-5.844,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap20,1,16.800,+5.556,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap28,1,16.600,+5.356,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap8,4,16.288,+5.043,"[2.50, 7.58]",0.931,large,0.0008***,positive (+)
Hap25,1,15.800,+4.556,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap7,6,6.800,-4.444,"[-6.72, -2.16]",-0.849,large,0.0006***,negative (-)
Hap16,1,6.800,-4.444,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap27,1,15.600,+4.356,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,11,15.600,+4.356,"[0.59, 8.12]",0.781,medium,0.0345*,positive (+)
Hap5,12,7.267,-3.978,"[-6.64, -1.31]",-0.793,medium,0.0059***,negative (-)
Hap14,1,7.800,-3.444,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap2,23,14.214,+2.970,"[0.15, 5.79]",0.574,medium,0.0445*,positive (+)
Hap26,1,14.200,+2.956,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,8.400,-2.844,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap22,1,14.000,+2.756,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap19,1,13.800,+2.556,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap12,2,8.900,-2.344,"[-5.13, 0.44]",-0.419,small,0.1522,negative (-)
Hap17,1,9.200,-2.044,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap11,2,13.250,+2.006,"[-1.56, 5.57]",0.358,small,0.3668,positive (+)
Hap3,23,9.528,-1.716,"[-4.02, 0.59]",-0.389,small,0.1540,negative (-)
Hap32,1,9.600,-1.644,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap4,13,9.792,-1.452,"[-5.24, 2.34]",-0.254,small,0.4599,negative (-)
Hap31,1,9.800,-1.444,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap29,1,10.000,-1.244,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap10,2,10.100,-1.144,"[-9.84, 7.55]",-0.200,small,0.8353,negative (-)
Hap21,1,10.200,-1.044,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,2,12.100,+0.856,"[-10.91, 12.62]",0.147,negligible,0.9087,positive (+)
Hap18,1,11.000,-0.244,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap9,3,11.267,+0.022,"[-7.53, 7.58]",0.004,negligible,0.9959,positive (+)
Hap1,27,11.244,REF,-,-,-,-,-
