Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap24,1,182.600,+71.319,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,177.620,+66.339,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap30,1,166.800,+55.519,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap20,1,157.800,+46.519,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap5,12,156.953,+45.673,"[24.66, 66.69]",1.766,large,0.0007***,positive (+)
Hap28,1,154.400,+43.119,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap22,1,153.400,+42.119,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,152.600,+41.319,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap32,1,147.400,+36.119,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,13,146.542,+35.262,"[14.53, 56.00]",1.332,large,0.0041***,positive (+)
Hap12,2,145.900,+34.619,"[22.10, 47.13]",1.655,large,0.0143*,positive (+)
Hap16,1,143.650,+32.369,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap3,23,141.978,+30.698,"[17.97, 43.42]",1.356,large,0.0000***,positive (+)
Hap6,11,139.669,+28.388,"[10.20, 46.57]",1.223,large,0.0079***,positive (+)
Hap9,3,84.677,-26.604,"[-41.78, -11.42]",-1.284,large,0.0285*,negative (-)
Hap31,1,135.800,+24.519,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap29,1,135.400,+24.119,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap18,1,133.800,+22.519,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap17,1,133.530,+22.249,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap10,2,92.385,-18.896,"[-33.48, -4.31]",-0.902,large,0.1239,negative (-)
Hap2,23,128.763,+17.483,"[2.83, 32.14]",0.682,medium,0.0246*,positive (+)
Hap15,1,94.000,-17.281,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap13,2,95.100,-16.181,"[-64.87, 32.51]",-0.738,medium,0.6277,negative (-)
Hap7,6,126.672,+15.391,"[-15.22, 46.00]",0.629,medium,0.3640,positive (+)
Hap21,1,126.200,+14.919,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,2,99.040,-12.241,"[-43.40, 18.92]",-0.575,medium,0.5684,negative (-)
Hap19,1,100.800,-10.481,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap25,1,104.600,-6.681,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap8,4,116.382,+5.102,"[-23.37, 33.57]",0.231,small,0.7453,positive (+)
Hap26,1,107.200,-4.081,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap27,1,108.800,-2.481,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap1,27,111.281,REF,-,-,-,-,-
