Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap22,1,30.450,+9.947,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap23,1,29.030,+8.527,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,27.740,+7.237,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap17,1,27.390,+6.887,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap32,1,26.700,+6.197,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap25,1,26.380,+5.877,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,3,14.870,-5.633,"[-8.71, -2.55]",-0.902,large,0.0039***,negative (-)
Hap30,1,25.930,+5.427,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap24,1,25.890,+5.387,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap12,2,25.870,+5.367,"[2.66, 8.08]",0.846,large,0.0013***,positive (+)
Hap5,12,25.488,+4.985,"[2.29, 7.68]",0.901,large,0.0009***,positive (+)
Hap20,1,25.080,+4.577,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap7,6,24.608,+4.106,"[0.59, 7.62]",0.678,medium,0.0359*,positive (+)
Hap26,1,24.400,+3.897,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap21,1,24.360,+3.857,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,13,24.298,+3.795,"[0.42, 7.17]",0.647,medium,0.0345*,positive (+)
Hap3,23,24.219,+3.716,"[0.96, 6.48]",0.712,medium,0.0119*,positive (+)
Hap28,1,23.990,+3.487,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap2,23,23.680,+3.178,"[0.27, 6.08]",0.585,medium,0.0376*,positive (+)
Hap6,11,23.619,+3.116,"[-0.44, 6.67]",0.523,medium,0.0968,positive (+)
Hap27,1,23.040,+2.537,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,2,22.895,+2.392,"[-0.90, 5.68]",0.377,small,0.2171,positive (+)
Hap18,1,22.650,+2.147,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap16,1,22.390,+1.887,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap31,1,22.390,+1.887,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap19,1,21.890,+1.387,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap29,1,21.730,+1.227,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap15,1,21.130,+0.627,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap8,4,20.925,+0.422,"[-4.25, 5.09]",0.067,negligible,0.8655,positive (+)
Hap13,2,20.720,+0.217,"[-4.89, 5.33]",0.034,negligible,0.9424,positive (+)
Hap10,2,20.640,+0.137,"[-2.35, 2.63]",0.022,negligible,0.9147,positive (+)
Hap1,27,20.503,REF,-,-,-,-,-
