Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap20,1,71.100,+46.302,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap28,1,53.440,+28.642,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap27,1,53.240,+28.442,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap26,1,51.520,+26.722,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap30,1,46.070,+21.272,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap22,1,41.030,+16.232,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,3,10.590,-14.208,"[-21.91, -6.51]",-1.243,large,0.0191*,negative (-)
Hap31,1,10.700,-14.098,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap19,1,11.320,-13.478,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap24,1,12.670,-12.128,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap25,1,36.180,+11.382,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap11,2,35.495,+10.697,"[-17.53, 38.93]",0.879,large,0.5884,positive (+)
Hap8,4,35.090,+10.292,"[-7.72, 28.30]",0.822,large,0.3356,positive (+)
Hap32,1,34.710,+9.912,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,15.180,-9.618,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap5,12,15.750,-9.048,"[-14.81, -3.29]",-0.864,large,0.0040***,negative (-)
Hap23,1,33.790,+8.992,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap10,2,16.850,-7.948,"[-12.56, -3.34]",-0.689,medium,0.0023***,negative (-)
Hap13,2,32.475,+7.677,"[-18.66, 34.01]",0.635,medium,0.6652,positive (+)
Hap16,1,17.510,-7.288,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap17,1,18.550,-6.248,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap18,1,30.800,+6.002,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap3,23,30.753,+5.955,"[0.22, 11.69]",0.565,medium,0.0475*,positive (+)
Hap15,1,19.000,-5.798,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap29,1,19.000,-5.798,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap12,2,29.085,+4.287,"[-2.07, 10.65]",0.371,small,0.2628,positive (+)
Hap2,23,28.467,+3.670,"[-3.16, 10.49]",0.301,small,0.2975,positive (+)
Hap4,13,22.263,-2.535,"[-8.35, 3.28]",-0.242,small,0.3986,negative (-)
Hap7,6,22.822,-1.976,"[-8.72, 4.77]",-0.179,negligible,0.5749,negative (-)
Hap21,1,24.030,-0.768,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap6,11,25.246,+0.449,"[-6.28, 7.18]",0.041,negligible,0.8971,positive (+)
Hap1,27,24.798,REF,-,-,-,-,-
