Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap3,2,5.400,-8.180,"[-13.73, -2.63]",-1.162,large,0.0252*,negative (-)
Hap6,1,5.750,-7.830,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap5,1,5.800,-7.780,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap2,3,7.200,-6.380,"[-11.19, -1.57]",-0.952,large,0.0256*,negative (-)
Hap7,1,7.400,-6.180,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap14,1,18.800,+5.220,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap13,1,9.800,-3.780,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap11,1,16.800,+3.220,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,2,15.800,+2.220,"[-2.37, 6.81]",0.317,small,0.3677,positive (+)
Hap9,1,15.600,+2.020,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap12,1,11.800,-1.780,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap10,1,14.600,+1.020,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap8,1,13.400,-0.180,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap1,10,13.580,REF,-,-,-,-,-
