Haplotype,N,Mean,Effect,95% CI,Cohen's d,Effect Size,P-value,Direction
Hap5,1,30.480,+6.210,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap6,1,19.830,-4.440,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap2,3,20.223,-4.047,"[-8.49, 0.40]",-1.257,large,0.1713,negative (-)
Hap3,2,28.190,+3.920,"[1.47, 6.37]",1.305,large,0.0225*,positive (+)
Hap10,1,27.880,+3.610,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap4,2,21.575,-2.695,"[-9.86, 4.47]",-0.799,medium,0.5806,negative (-)
Hap11,1,26.880,+2.610,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap14,1,26.340,+2.070,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap9,1,22.290,-1.980,"[nan, nan]",0.000,negligible,1.0000,negative (-)
Hap7,1,25.640,+1.370,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap12,1,25.540,+1.270,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap8,1,25.140,+0.870,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap13,1,24.990,+0.720,"[nan, nan]",0.000,negligible,1.0000,positive (+)
Hap1,10,24.270,REF,-,-,-,-,-
