Hap8SplitGroup,Country,n,haplotypes,TGW_mean
Neither,India,102,Hap1:29;Hap10:2;Hap11:8;Hap12:2;Hap13:11;Hap14:5;Hap16:4;Hap19:1;Hap2:7;Hap3:10;Hap4:11;Hap5:7;Hap6:2;Hap9:3,37.67728902080066
Neither,Spain,84,Hap1:22;Hap12:7;Hap18:2;Hap19:1;Hap2:17;Hap3:6;Hap4:5;Hap5:8;Hap6:13;Hap9:3,42.741017713750004
Neither,China,50,Hap1:17;Hap10:2;Hap11:1;Hap19:1;Hap2:1;Hap3:10;Hap4:3;Hap5:1;Hap6:12;Hap9:2,38.134397019
Neither,Iran,46,Hap1:26;Hap10:2;Hap11:1;Hap12:3;Hap16:1;Hap2:1;Hap3:1;Hap4:9;Hap5:1;Hap6:1,39.94778349010869
Neither,USSR,46,Hap1:30;Hap14:7;Hap2:4;Hap3:2;Hap4:3,35.50814124695652
Neither,Yugoslavia,41,Hap1:15;Hap10:2;Hap2:17;Hap3:3;Hap5:1;Hap6:3,39.936650650121955
Neither,Afghanistan,31,Hap1:25;Hap10:1;Hap11:1;Hap2:2;Hap4:2,40.31395601870968
Neither,Australia,27,Hap11:6;Hap16:1;Hap18:1;Hap2:6;Hap3:3;Hap4:3;Hap5:6;Hap9:1,40.68248734425925
Neither,Portugal,24,Hap1:5;Hap16:1;Hap2:5;Hap3:2;Hap4:1;Hap5:8;Hap9:2,42.86171075375
Neither,Unknown,20,Hap1:9;Hap2:6;Hap3:2;Hap5:1;Hap6:1;Hap9:1,42.509591635999996
Neither,Poland,19,Hap1:4;Hap11:1;Hap18:1;Hap2:5;Hap3:8,38.56315164
Neither,Morocco,17,Hap1:2;Hap12:1;Hap2:1;Hap3:6;Hap4:1;Hap5:1;Hap6:1;Hap9:4,42.13532424588236
Neither,France,16,Hap1:3;Hap2:8;Hap3:4;Hap5:1,42.218252791562506
Neither,Greece,16,Hap1:3;Hap10:2;Hap2:4;Hap3:2;Hap4:2;Hap5:1;Hap9:2,40.6308292640625
Neither,Bulgaria,13,Hap1:3;Hap10:6;Hap2:4,37.94217387576923
Neither,Tunisia,13,Hap1:4;Hap12:1;Hap2:2;Hap3:2;Hap4:3;Hap5:1,40.74094640692307
Neither,Italy,12,Hap1:6;Hap2:1;Hap3:4;Hap6:1,41.35153513416667
Neither,Turkey,11,Hap1:1;Hap2:1;Hap3:3;Hap4:1;Hap5:1;Hap6:2;Hap9:2,43.95843343954545
Neither,Canary Islands,10,Hap1:2;Hap10:1;Hap4:3;Hap5:2;Hap6:2,40.085264713499996
Neither,Crete,8,Hap1:1;Hap3:2;Hap4:2;Hap5:1;Hap9:2,41.587046702500004
Neither,Romania,6,Hap10:4;Hap2:1;Hap4:1,38.73887489083333
Neither,Algeria,5,Hap14:1;Hap2:2;Hap3:1;Hap4:1,41.510201582
Neither,Iraq,5,Hap1:1;Hap13:1;Hap16:1;Hap2:1;Hap9:1,37.692917587
Neither,Burma,4,Hap1:1;Hap13:1;Hap2:1;Hap4:1,38.77810057875
Neither,Egypt,4,Hap1:1;Hap2:1;Hap3:2,39.06176051375
Neither,Hungary,4,Hap1:1;Hap3:3,37.95719745375
Neither,Cyprus,2,Hap2:1;Hap6:1,41.6351334725
Neither,Palestine,2,Hap2:1;Hap4:1,40.4196326725
Neither,United Kingdom,2,Hap1:2,33.6274749675
Neither,Brazil,1,Hap3:1,46.9904113
Neither,Ethiopia,1,Hap1:1,36.650219515
Neither,Finland,1,Hap4:1,28.05764202
Published+Background,China,18,Hap8:18,31.33705995888889
Published+Background,India,3,Hap8:3,35.075398793333335
Published+Background,Italy,2,Hap8:2,32.0856686075
Published+Background,Crete,1,Hap8:1,43.623419725
Published+Background,Iran,1,Hap8:1,29.471446445
PublishedOnly,China,14,Hap17:1;Hap7:13,33.75092643357142
PublishedOnly,Portugal,7,Hap15:4;Hap7:3,44.83618162
PublishedOnly,India,4,Hap17:2;Hap7:2,40.0803425775
PublishedOnly,Greece,3,Hap7:3,46.417029555
PublishedOnly,Turkey,3,Hap7:3,40.87658411666667
PublishedOnly,Canary Islands,2,Hap15:2,41.487435215000005
PublishedOnly,Spain,2,Hap15:1;Hap7:1,38.3474403525
PublishedOnly,Iran,1,Hap7:1,46.6755601
PublishedOnly,Iraq,1,Hap7:1,38.99828952
PublishedOnly,Poland,1,Hap15:1,54.84800388
PublishedOnly,Tunisia,1,Hap7:1,35.924222565
PublishedOnly,USSR,1,Hap17:1,32.83402899
PublishedOnly,Unknown,1,Hap7:1,35.81077657
