group,Country,case_in_country,case_total,control_in_country,control_total,odds_ratio,fisher_pvalue,fdr_bh
PublishedPair,China,32,66,50,643,11.16235294117647,1.0085380165005996e-15,3.227321652801919e-14
PublishedPair,Spain,2,66,84,643,0.20796130952380953,0.015788743684185483,0.20222304743317457
PublishedPair,Portugal,7,66,24,643,3.0600282485875705,0.018958410696860117,0.20222304743317457
PublishedPair,Yugoslavia,0,66,41,643,0.0,0.025532300045315835,0.20425840036252668
PublishedPair,Afghanistan,0,66,31,643,0.0,0.10404802292053214,0.6051550608397459
PublishedPair,USSR,1,66,46,643,0.19966555183946488,0.11346657390745235,0.6051550608397459
PublishedPair,Turkey,3,66,11,643,2.735930735930736,0.13351027603426188,0.6103326904423401
PublishedPair,Australia,0,66,27,643,0.0,0.16442114778577366,0.6576845911430946
PublishedPair,Iran,2,66,46,643,0.405570652173913,0.3019198778591543,0.8720174871688109
PublishedPair,Canary Islands,2,66,10,643,1.978125,0.30916824147004934,0.8720174871688109
PublishedPair,India,7,66,102,643,0.6292788301761383,0.36876365371909764,0.8720174871688109
PublishedPair,Italy,2,66,12,643,1.6432291666666667,0.3802482818017253,0.8720174871688109
PublishedPair,France,0,66,16,643,0.0,0.3858341772872199,0.8720174871688109
PublishedPair,Morocco,0,66,17,643,0.0,0.39100299720677884,0.8720174871688109
PublishedPair,Greece,3,66,16,643,1.8660714285714286,0.4087581971103801,0.8720174871688109
PublishedPair,Iraq,1,66,5,643,1.9630769230769232,0.4448118888545174,0.8896237777090348
PublishedPair,Crete,1,66,8,643,1.2211538461538463,0.5871426927417878,1.0
PublishedPair,Bulgaria,0,66,13,643,0.0,0.6225721933754849,1.0
PublishedPair,Unknown,1,66,20,643,0.47923076923076924,0.7113403519163746,1.0
PublishedPair,Algeria,0,66,5,643,0.0,1.0,1.0
PublishedPair,Brazil,0,66,1,643,0.0,1.0,1.0
PublishedPair,Burma,0,66,4,643,0.0,1.0,1.0
PublishedPair,Cyprus,0,66,2,643,0.0,1.0,1.0
PublishedPair,Egypt,0,66,4,643,0.0,1.0,1.0
PublishedPair,Ethiopia,0,66,1,643,0.0,1.0,1.0
PublishedPair,Finland,0,66,1,643,0.0,1.0,1.0
PublishedPair,Hungary,0,66,4,643,0.0,1.0,1.0
PublishedPair,Palestine,0,66,2,643,0.0,1.0,1.0
PublishedPair,Poland,1,66,19,643,0.5052631578947369,1.0,1.0
PublishedPair,Romania,0,66,6,643,0.0,1.0,1.0
PublishedPair,Tunisia,1,66,13,643,0.7455621301775148,1.0,1.0
PublishedPair,United Kingdom,0,66,2,643,0.0,1.0,1.0
Hap8Background,China,18,25,64,684,24.910714285714285,5.73060690568192e-13,1.8337942098182144e-11
Hap8Background,Spain,0,25,86,684,0.0,0.060483508630000835,0.8941591146394211
Hap8Background,Italy,2,25,12,684,4.869565217391305,0.08382741699744573,0.8941591146394211
Hap8Background,Crete,1,25,8,684,3.5208333333333335,0.27743620234858424,1.0
Hap8Background,Yugoslavia,0,25,41,684,0.0,0.39027722398577297,1.0
Hap8Background,USSR,0,25,47,684,0.0,0.4008225417035166,1.0
Hap8Background,Australia,0,25,27,684,0.0,0.6179847430208244,1.0
Hap8Background,Afghanistan,0,25,31,684,0.0,0.6200688809266732,1.0
Hap8Background,Portugal,0,25,31,684,0.0,0.6200688809266732,1.0
Hap8Background,India,3,25,106,684,0.7435677530017153,0.7838257465467016,1.0
Hap8Background,Algeria,0,25,5,684,0.0,1.0,1.0
Hap8Background,Brazil,0,25,1,684,0.0,1.0,1.0
Hap8Background,Bulgaria,0,25,13,684,0.0,1.0,1.0
Hap8Background,Burma,0,25,4,684,0.0,1.0,1.0
Hap8Background,Canary Islands,0,25,12,684,0.0,1.0,1.0
Hap8Background,Cyprus,0,25,2,684,0.0,1.0,1.0
Hap8Background,Egypt,0,25,4,684,0.0,1.0,1.0
Hap8Background,Ethiopia,0,25,1,684,0.0,1.0,1.0
Hap8Background,Finland,0,25,1,684,0.0,1.0,1.0
Hap8Background,France,0,25,16,684,0.0,1.0,1.0
Hap8Background,Greece,0,25,19,684,0.0,1.0,1.0
Hap8Background,Hungary,0,25,4,684,0.0,1.0,1.0
Hap8Background,Iran,1,25,47,684,0.5647163120567376,1.0,1.0
Hap8Background,Iraq,0,25,6,684,0.0,1.0,1.0
