Hap_Name,n,PublishedPair_n,Hap8Background_n,FullHap8_n,TGW_mean,countries
Hap7,29,29,0,0,38.4264230862069,China:13;Greece:3;India:2;Iran:1;Iraq:1;Portugal:3;Spain:1;Tunisia:1;Turkey:3;Unknown:1
Hap8,25,25,25,25,32.262379161000005,China:18;Crete:1;India:3;Iran:1;Italy:2
Hap15,8,8,0,0,45.57330634,Canary Islands:2;Poland:1;Portugal:4;Spain:1
Hap17,4,4,0,0,33.59409131875,China:1;India:2;USSR:1
Hap1,214,0,0,0,39.68494608601247,Afghanistan:25;Bulgaria:3;Burma:1;Canary Islands:2;China:17;Crete:1;Egypt:1;Ethiopia:1;France:3;Greece:3;Hungary:1;India:29;Iran:26;Iraq:1;Italy:6;Morocco:2;Poland:4;Portugal:5;Spain:22;Tunisia:4;Turkey:1;USSR:30;United Kingdom:2;Unknown:9;Yugoslavia:15
Hap2,100,0,0,0,40.41812633975,Afghanistan:2;Algeria:2;Australia:6;Bulgaria:4;Burma:1;China:1;Cyprus:1;Egypt:1;France:8;Greece:4;India:7;Iran:1;Iraq:1;Italy:1;Morocco:1;Palestine:1;Poland:5;Portugal:5;Romania:1;Spain:17;Tunisia:2;Turkey:1;USSR:4;Unknown:6;Yugoslavia:17
Hap3,77,0,0,0,40.46682829142857,Algeria:1;Australia:3;Brazil:1;China:10;Crete:2;Egypt:2;France:4;Greece:2;Hungary:3;India:10;Iran:1;Italy:4;Morocco:6;Poland:8;Portugal:2;Spain:6;Tunisia:2;Turkey:3;USSR:2;Unknown:2;Yugoslavia:3
Hap4,54,0,0,0,37.71256166916666,Afghanistan:2;Algeria:1;Australia:3;Burma:1;Canary Islands:3;China:3;Crete:2;Finland:1;Greece:2;India:11;Iran:9;Morocco:1;Palestine:1;Portugal:1;Romania:1;Spain:5;Tunisia:3;Turkey:1;USSR:3
Hap5,41,0,0,0,42.52374989390244,Australia:6;Canary Islands:2;China:1;Crete:1;France:1;Greece:1;India:7;Iran:1;Morocco:1;Portugal:8;Spain:8;Tunisia:1;Turkey:1;Unknown:1;Yugoslavia:1
Hap6,39,0,0,0,42.414013995769224,Canary Islands:2;China:12;Cyprus:1;India:2;Iran:1;Italy:1;Morocco:1;Spain:13;Turkey:2;Unknown:1;Yugoslavia:3
Hap9,23,0,0,0,40.044055935,Australia:1;China:2;Crete:2;Greece:2;India:3;Iraq:1;Morocco:4;Portugal:2;Spain:3;Turkey:2;Unknown:1
Hap10,22,0,0,0,37.277980466818185,Afghanistan:1;Bulgaria:6;Canary Islands:1;China:2;Greece:2;India:2;Iran:2;Romania:4;Yugoslavia:2
Hap11,18,0,0,0,38.15655171277777,Afghanistan:1;Australia:6;China:1;India:8;Iran:1;Poland:1
Hap12,14,0,0,0,42.20111966357143,India:2;Iran:3;Morocco:1;Spain:7;Tunisia:1
Hap13,13,0,0,0,33.78890691923076,Burma:1;India:11;Iraq:1
Hap14,13,0,0,0,35.402128511923074,Algeria:1;India:5;USSR:7
Hap16,8,0,0,0,39.36681532874999,Australia:1;India:4;Iran:1;Iraq:1;Portugal:1
Hap18,4,0,0,0,45.56230471,Australia:1;Poland:1;Spain:2
Hap19,3,0,0,0,40.355957466666666,China:1;India:1;Spain:1
